Date,Site,#,CW,Color,boat,boat+wet,boat+dry,bag,bag+pre,bag+post,crucible,cruc+pre,cruc+post
7/11/22,Bristol,24,24.9,2,1095.046,1562.560,1210.777,195.341,311.105,305.461,2765.992,2879.071,2775.115
7/11/22,Bristol,25,15.8,3,1080.940,1257.577,1121.652,194.340,234.922,229.530,2752.816,2790.264,2755.824
7/11/22,Bristol,26,14.8,1,1069.556,1211.590,1119.964,194.553,244.854,241.536,2563.113,2611.847,2567.303
7/11/22,Bristol,27,17.3,3,1100.808,1327.285,1156.871,193.679,249.471,244.964,2587.209,2639.132,2591.882
7/11/22,Bristol,28,19.9,3,1140.670,1461.054,1215.923,194.435,270.442,265.076,2889.200,2961.537,2897.323
7/11/22,Bristol,29,26.4,4,1091.920,1803.746,1206.093,195.364,309.491,301.254,2910.596,3017.726,2921.792
7/11/22,Bristol,31,14.8,3,1109.280,1329.506,1246.702,196.187,235.697,229.630,2955.579,2993.507,2959.251
7/11/22,Bristol,32,18.2,2,1124.422,1520.010,1202.763,198.612,274.127,264.216,2833.945,2903.471,2840.314
7/11/22,Bristol,33,22.5,2,1048.747,1580.951,1202.844,195.947,350.185,344.288,2468.305,2622.094,2483.809
7/11/22,Bristol,34,19.6,2,1111.946,1550.761,1204.068,196.192,288.175,275.605,2876.384,2959.327,2883.396
7/11/22,Bristol,35,19.5,2,1082.772,1462.417,1160.746,197.069,271.162,255.227,2527.721,2588.790,2533.021
7/11/22,Bristol,37,13.5,1,1075.167,1213.483,1110.536,195.755,231.091,224.957,2972.085,3004.227,2974.070
7/11/22,Bristol,38,15.6,1,1080.863,1199.232,1126.802,197.660,244.680,241.477,2999.728,3046.258,3003.400
7/11/22,Bristol,39,17.8,3,1101.051,1473.503,1170.675,199.190,269.646,263.993,2765.541,2834.575,2772.166
7/11/22,Bristol,40,16.8,3,1088.118,1388.003,1157.101,197.024,267.604,261.099,2752.557,2821.195,2759.362
7/11/22,Bristol,41,20.3,2,1102.078,1492.230,1190.102,197.898,283.310,270.966,2562.833,2639.873,2569.423
7/11/22,Bristol,42,28.7,2,1082.042,2320.234,1350.430,198.062,461.039,438.670,2586.843,2833.191,2613.422
7/11/22,Bristol,43,18.4,2,1071.175,1474.935,1150.427,199.968,279.222,270.354,2889.184,2964.677,2894.967
7/11/22,Bristol,44,16.9,2,1078.255,1472.681,1151.617,198.857,271.835,262.960,2910.353,2976.792,2915.273
7/11/22,Bristol,45,16.5,2,1074.657,1421.086,1138.006,199.670,262.323,248.753,2717.437,2767.640,2720.507
7/11/22,Bristol,46,16.2,3,1063.558,1313.810,1110.498,198.337,246.175,239.140,2955.627,2996.533,2959.385
7/11/22,Bristol,47,14.7,2,1085.804,1210.624,1120.718,196.473,232.905,227.487,2834.034,2866.569,2836.089
7/11/22,Bristol,48,12.6,1,1119.499,1184.967,1143.531,199.133,225.454,220.269,2468.714,2492.680,2470.315
7/11/22,Bristol,49,13.4,2,1079.258,1158.630,1110.603,199.151,232.483,227.811,2877.076,2908.421,2879.077
7/11/22,Bristol,50,18.6,2,1048.205,1334.041,1121.138,196.227,271.797,266.281,2527.796,2598.703,2534.690
7/11/22,Bristol,51,19.8,3,1061.201,1562.504,1164.830,198.480,296.555,284.325,2796.007,2880.825,2806.085
7/11/22,Bristol,52,16.6,2,1094.626,1297.336,1172.474,199.259,278.780,275.780,2971.991,3050.156,2980.425
7/11/22,Bristol,53,24.8,2,1080.112,1954.930,1269.003,199.876,379.073,365.824,2999.342,3164.313,3018.381
7/11/22,Bristol,54,18.9,2,1084.256,1392.768,1166.805,198.463,281.178,275.700,2765.499,2843.421,2772.548
7/11/22,Bristol,57,15.0,3,1114.134,1302.644,1152.522,195.641,234.644,230.411,2587.485,2623.745,2592.263
7/11/22,Bristol,58,15.9,1,1087.593,1268.246,1152.891,196.979,262.799,260.099,2889.110,2953.107,2894.196
7/11/22,Bristol,59,15.7,2,1114.413,1281.338,1163.725,195.488,245.536,241.962,2910.304,2957.755,2914.930
7/11/22,Bristol,60,13.3,2,1084.266,1197.923,1107.963,200.187,219.509,216.320,2717.278,2734.777,2718.153
7/11/22,Bristol,61,16.9,3,1118.540,1409.808,1181.997,199.038,259.813,250.991,2955.605,3006.563,2960.958
7/11/22,Bristol,62,22.6,3,1113.606,1430.147,1179.648,198.115,260.265,248.543,2834.419,2882.181,2839.032
7/11/22,Bristol,63,18.5,2,1103.927,1556.792,1204.419,198.507,297.313,288.332,2468.682,2557.194,2477.165
7/11/22,Bristol,64,18.0,2,1076.547,1425.063,1175.558,199.222,299.602,296.300,2876.433,2973.457,2884.464
7/11/22,Bristol,65,17.2,3,1101.509,1474.555,1181.111,199.828,274.799,263.373,2527.717,2590.061,2535.290
7/11/22,Bristol,66,15.9,1,1098.507,1262.288,1157.142,198.485,259.217,256.049,2795.967,2855.013,2800.393
7/11/22,Bristol,67,18.4,2,1114.497,1524.701,1205.429,196.780,287.117,277.774,2972.901,3054.153,2979.426
7/11/22,Bristol,69,17.7,2,1081.583,1465.326,1168.178,196.425,283.840,271.222,2765.486,2837.032,2773.050
7/11/22,Bristol,70,23.6,2,1081.089,1585.142,1204.255,197.643,320.127,312.096,2752.578,2867.079,2764.991
7/11/22,Bristol,71,16.7,3,1062.921,1286.513,1116.448,199.287,251.702,245.430,2563.690,2610.069,2568.099
7/11/22,Bristol,72,16.5,1,1122.788,1294.136,1178.361,198.587,255.789,253.588,2587.383,2643.451,2593.349
7/11/22,Bristol,73,27.3,2,1139.435,2198.881,1368.342,197.637,422.201,403.887,2889.098,3091.995,2908.227
7/11/22,Bristol,74,18.5,2,1020.492,1277.330,1083.049,198.126,259.867,254.217,2911.177,2966.161,2914.355
